League,Home_Team,Away_Team,Home_FH,Away_FH,Home_Result,Away_Result,Odds_Home,Odds_Draw,Odds_Away,Alt-Ust
English Premier,Burnley , Everton,1,2,3,2,2.35,3.0,2.7,UST
English Premier,Crystal Palace , Arsenal,2,0,3,0,3.8,3.1,1.9,UST
English Premier,Tottenham , Newcastle,1,1,5,1,1.4,4.2,6.0,UST
English Premier,West Ham , Everton,1,0,2,1,1.67,3.5,4.1,UST
English Premier,Manchester Utd , Leicester,0,0,1,1,1.45,4.2,5.0,ALT
English Premier,Leeds , Southampton,1,0,1,1,2.25,3.3,2.65,UST
English Premier,Brighton , Norwich,0,0,0,0,1.45,3.8,6.5,ALT
English Premier,Burnley , Manchester City,0,2,0,2,12.0,5.5,1.18,UST
English Premier,Chelsea , Brentford,0,0,1,4,1.33,4.2,7.5,UST
English Premier,Wolverhampton , Aston Villa,2,0,2,1,2.8,2.85,2.4,UST
English Premier,Liverpool , Watford,1,0,2,0,1.09,7.5,15.0,UST
English Premier,Tottenham , West Ham,2,1,3,1,1.67,3.4,4.4,UST
English Premier,Leicester , Brentford,2,0,2,1,1.85,3.4,3.5,UST
English Premier,Aston Villa , Arsenal,0,1,0,1,3.1,3.4,1.97,ALT
English Premier,Wolverhampton , Leeds,2,0,2,3,1.92,3.3,3.4,UST
English Premier,Everton , Newcastle,0,0,1,0,2.35,2.95,2.8,ALT
English Premier,Arsenal , Liverpool,0,0,0,2,3.4,3.3,1.92,ALT
English Premier,Brighton , Tottenham,0,1,0,2,3.8,3.3,1.8,UST
English Premier,Crystal Palace , Manchester City,0,0,0,0,7.5,4.8,1.28,ALT
English Premier,Arsenal , Leicester,1,0,2,0,1.37,4.4,6.5,UST
English Premier,Everton , Wolverhampton,0,0,0,1,1.97,3.0,3.5,ALT
English Premier,Southampton , Watford,1,2,1,2,1.55,3.8,4.7,UST
English Premier,Leeds , Norwich,1,0,2,1,1.55,3.7,4.8,UST
English Premier,Chelsea , Newcastle,0,0,1,0,1.37,4.2,7.0,ALT
English Premier,West Ham , Aston Villa,0,0,2,1,2.35,3.05,2.7,UST
English Premier,Manchester Utd , Tottenham,2,1,3,2,2.05,3.4,2.95,UST
English Premier,Brentford , Burnley,0,0,2,0,1.97,3.05,3.5,ALT
English Premier,Brighton , Liverpool,0,1,0,2,7.0,4.4,1.35,UST
English Premier,Leeds , Aston Villa,0,1,0,3,3.0,3.4,2.0,UST
English Premier,Norwich , Chelsea,0,2,1,3,8.5,4.8,1.27,UST
English Premier,Wolverhampton , Watford,3,0,4,0,1.82,3.2,3.8,UST
English Premier,Southampton , Newcastle,1,1,1,2,1.9,3.3,3.5,UST
English Premier,Tottenham , Everton,3,0,5,0,1.63,3.4,4.7,UST
English Premier,Manchester City , Manchester Utd,2,1,4,1,1.48,4.5,4.7,UST
English Premier,Watford , Arsenal,1,2,2,3,5.8,4.1,1.42,UST
English Premier,Liverpool , West Ham,1,0,1,0,1.2,6.0,10.0,ALT
English Premier,Norwich , Brentford,0,1,1,3,2.8,2.95,2.35,UST
English Premier,Newcastle , Brighton,2,0,2,1,2.35,2.95,2.75,UST
English Premier,Wolverhampton , Crystal Palace,0,2,0,2,2.25,2.8,3.1,UST
English Premier,Aston Villa , Southampton,2,0,4,0,2.1,3.3,2.9,UST
English Premier,Burnley , Chelsea,0,0,0,4,6.5,3.7,1.45,UST
English Premier,Leicester , Leeds,0,0,1,0,1.87,3.5,3.4,ALT
English Premier,Burnley , Leicester,0,0,0,2,2.85,3.2,2.25,ALT
English Premier,West Ham , Wolverhampton,0,0,1,0,1.85,3.0,4.2,ALT
English Premier,Everton , Manchester City,0,0,0,1,7.0,5.2,1.27,ALT
English Premier,Brighton , Aston Villa,0,1,0,2,2.1,2.95,3.2,UST
English Premier,Manchester Utd , Watford,0,0,0,0,1.25,4.8,9.5,ALT
English Premier,Brentford , Newcastle,0,2,0,2,2.4,2.95,2.75,UST
English Premier,Crystal Palace , Burnley,1,0,1,1,1.8,3.1,4.1,UST
English Premier,Leeds , Tottenham,0,3,0,4,3.7,3.6,1.75,UST
English Premier,Southampton , Norwich,1,0,2,0,1.4,4.2,5.8,UST
