League,Home_Team,Away_Team,Home_FH,Away_FH,Home_Result,Away_Result,Odds_Home,Odds_Draw,Odds_Away,Alt-Ust
Mexican League,Club Atlas , Necaxa,1,0,2,1,1.95,2.8,4.0,UST
Mexican League,Pachuca , Tigres UANL,0,0,2,1,1.87,3.3,3.5,UST
UE Europe,West Ham , Lyon,0,0,1,1,1.85,3.4,3.6,ALT
UE Europe,Braga , Glasgow Rangers,1,0,1,0,1.87,3.3,3.6,ALT
UE Europe,E Frankfurt , Barcelona,0,0,1,1,4.1,3.6,1.72,ALT
UE Europe,RB Leipzig , Atalanta,0,1,1,1,1.67,3.5,4.2,UST
Mexican League,Tijuana , San Luis,0,0,1,1,1.85,3.05,3.9,ALT
Mexican League,Toluca , Monterrey,1,2,2,2,3.5,3.2,1.9,UST
UE Champions,Chelsea , Real Madrid,1,2,1,3,2.1,3.2,2.95,UST
UE Champions,Villarreal , Bayern Munich,1,0,1,0,5.0,4.2,1.45,ALT
English League Champ,West Bromwich , Bournemouth,2,0,2,0,2.6,2.95,2.5,UST
English League Champ,Middlesbrough , Fulham,0,0,0,1,3.0,3.2,2.1,ALT
English League Champ,Nottingham , Coventry,1,0,2,0,1.82,3.4,3.6,UST
English Premier,Burnley , Everton,1,2,3,2,2.35,3.0,2.7,UST
German League,Augsburg , Mainz,1,0,2,1,2.95,3.1,2.2,UST
Norwegian Cup,Molde , Stromsgodset,0,0,3,0,1.37,4.4,6.5,UST
M League,Petaling Jaya , Terengganu,3,0,3,0,4.3,3.4,1.67,UST
M League,Kedah , Pahang,0,0,1,0,1.55,3.7,4.8,ALT
M League,Kuala Lumpur , Darul Takzim FC,0,1,0,3,8.5,4.8,1.28,UST
S.League,Tampines , Tanjong Pagar,2,0,3,3,1.58,4.0,4.1,UST
S.League,Young Lions , L City Sailors,0,1,0,1,11.0,6.5,1.15,ALT
A League,Perth Glory , Melbourne Vict,0,0,0,1,4.3,3.5,1.65,ALT
J League,Nagoya Grampus , Shonan Bellmare,0,1,2,1,1.9,2.85,4.2,UST
J League,Urawa Reds , Shimizu S Pulse,1,0,1,1,1.8,3.2,4.1,UST
K League,Pohang , Suwon City,1,0,2,0,1.97,3.1,3.4,UST
K League,Seoul , Gangwon,0,1,2,2,2.2,2.9,3.1,UST
J League,S Hiroshima , Yokohama FM,1,0,2,0,2.45,3.05,2.6,UST
J League,FC Tokyo , Vissel Kobe,0,1,3,1,2.05,3.1,3.2,UST
J League,Jubilo Iwata , Kawasaki F,0,0,1,1,4.1,3.5,1.67,ALT
J League,Avispa Fukuoka , Kashima Antlers,0,0,0,1,3.7,3.05,1.95,ALT
J League,Sagan Tosu , C Sapporo,1,0,5,0,2.75,3.0,2.35,UST
K League,Seongnam , Sangmu,0,2,0,3,2.8,2.75,2.5,UST
J League,Kyoto Sanga , Gamba Osaka,1,0,1,1,2.2,3.05,2.9,UST
A League,Melbourne City , Sydney FC,1,0,4,0,1.58,4.0,4.2,UST
UE Champions,Manchester City , Atletico Madrid,0,0,1,0,1.3,4.5,7.5,ALT
UE Champions,Benfica , Liverpool,0,2,1,3,6.0,4.4,1.37,UST
English League One (Account Only),Bolton , Portsmouth,0,0,1,1,2.3,3.0,2.8,ALT
English League Champ,Reading , Stoke City,1,1,2,1,2.55,2.95,2.55,UST
